gene,species
AGO1,human
AGO2,human
AGO3,human
AGO4,human
DICER1,human
HSPA4,human
HSP90AA1,human
HSP90AB1,human
HSPA8,human
HOPX,human
DNAJA2,human
PTGES3,human
CNOT1,human
CNOT6,human
CNOT7,human
CAF1,human
GW182,human
TNRC6A,human
TNRC6B,human
TNRC6C,human
DCP1,human
DCP2,human
DDX6,human
